transition_id,endpoint_role,snr_hbeta_window,snr_blue_4435_4700,snr_red_5100_5535
J075934.95+322143.3,bright,31.815245564405796,27.94363257835878,34.83856369496279
J075934.95+322143.3,faint,16.0465313496846,11.427994301271806,18.774168913281276
J080133.29+341737.6,bright,17.671365310735325,13.95896629369707,16.285982230764564
J080133.29+341737.6,faint,19.31141791637433,14.448392527351775,20.162757819344414
J080711.72+194439.7,bright,22.001761231188688,18.006056542259614,17.85578988376328
J080711.72+194439.7,faint,13.124049544811278,8.461310979267438,12.71468433960503
J083716.47+035606.1,bright,26.606847898424522,25.02873536330081,26.294103653324484
J083716.47+035606.1,faint,22.914614338003346,20.35380110654441,22.337284888082632
J083826.50+371906.7,bright,9.49071860597531,7.570552601293502,11.702080607634805
J083826.50+371906.7,faint,7.619796032415545,7.0045933873119,10.43092606276549
J084016.42+220624.6,bright,8.99107090312085,9.081238213293704,
J084016.42+220624.6,faint,5.5784525406894785,5.5596558843263795,10.410154810861197
J085512.13+032950.6,bright,21.316966521635997,19.974284399440624,23.026933552429963
J085512.13+032950.6,faint,21.54008436382384,20.77069648269198,20.658213559743817
J092313.53+043445.0,bright,20.558660110399657,20.46409540071221,16.904235911026092
J095536.70+103752.4,bright,14.59688526013101,6.36155786550273,15.283982423537775
J095536.70+103752.4,faint,8.261404561515231,4.8994749458542834,7.563879036138167
J1000+0354,faint,9.263317026059754,8.723087442887826,13.524307611661218
J1000+0354,bright,4.5416807977461815,5.067298118138147,5.149242672081375
J1003+0202,bright,11.631569853832014,12.32814231545547,13.81529212742658
J1003+0202,faint,17.215312581916855,16.346945326198576,18.797218376523965
J1003+0458,bright,7.3636317774007445,7.74610828952222,11.889873418228959
J1003+0458,faint,16.138194804352604,15.23285975591288,17.790730470196912
J1009+3539,bright,29.868904848451606,30.7249699434448,26.39780992554805
J1009+3539,faint,26.13477687991703,24.505031163216092,28.324257513050313
J101403.44+193609.1,bright,14.798009269674814,14.496221308780818,14.947816067389196
J101403.44+193609.1,faint,9.542702050369549,9.13554510197899,8.717096066269399
J101417.87+351106.8,bright,12.899181637064395,11.690656975641547,9.810978639003842
J101417.87+351106.8,faint,6.635306690134485,4.574521952415651,5.991407860697107
J102822.85+235125.8,bright,14.316053864546554,14.42679073637145,16.66007772570027
J103844.05+390804.0,bright,20.811471283795743,18.767387306738584,21.658088564669406
J104043.38+273518.9,bright,13.575984186008535,13.143492516836695,16.741865300376208
J104043.38+273518.9,faint,8.749235395882003,9.927858332311414,14.916509288943981
J104111.56+555142.4,bright,15.765222174772743,11.746904257357468,14.609562028407797
J104111.56+555142.4,faint,6.693025938085913,5.861937389151427,7.8851537087620995
J104427.75+271806.3,bright,35.12805989488302,33.84039791222406,34.12056867334112
J104427.75+271806.3,faint,30.058555515064704,29.29906924863015,26.023258571033615
J105233.83+454949.3,bright,17.210687484885945,16.629912737013697,18.56839279247935
J105233.83+454949.3,faint,13.081401430532054,13.96418496137697,20.63461381998617
J110413.32+281530.3,bright,15.746001965681431,15.260704255453865,18.868407682170158
J1110+0804,bright,11.351018677007744,11.38861176175449,11.206131102801706
J1110+0804,faint,13.744911450330717,12.975768197198423,14.16350999226353
J112229.65+214815.6,bright,30.157567945288022,27.75661722962609,29.96509442894365
J112229.65+214815.6,faint,26.592793855014364,23.752861514131695,24.771433587550113
J113402.78+290403.9,bright,15.569025434155156,11.663310661361951,12.606098345556099
J113402.78+290403.9,faint,9.822783230263997,7.082619699181851,9.225634485570973
J114154.47+063509.6,bright,26.58248103006477,25.643713940306995,26.042441316831443
J114154.47+063509.6,faint,12.45239955216459,13.051032411684652,10.836084861035811
J114634.92+282642.0,bright,16.599673258522483,15.650211055680021,21.074222207762055
J114634.92+282642.0,faint,9.914645464732253,6.249900305130612,14.643651538880137
J120635.22+175312.3,bright,20.206666078557642,20.448125335834,22.38519550338675
J120635.22+175312.3,faint,11.782603204950856,13.205041306106997,13.705400886459921
J121618.00+515946.1,bright,8.931383427657195,10.948281952253874,4.906315719691255
J121618.00+515946.1,faint,10.034284405969036,10.157255220606972,8.546403151643904
J122355.23+343856.6,bright,19.921866687610812,18.694553202674832,23.67007751411214
J122355.23+343856.6,faint,10.463746036652,11.043807364532066,14.815035245482148
