transition_id,physical_role,instrument_family,fit_completed,optimizer_success,parameter_at_bound,local_hbeta_coverage,local_mask_fraction,continuum_valid,broad_component_present,broad_component_amplitude,broad_component_width,broad_flux,residual_rms_local,finite_measurement,fit_valid,invalid_reason,valid_nondetection
J000253.52+210109.9,bright,SDSS_LEGACY,False,False,False,False,0.0048661800486617945,False,False,,,,,False,False,LOCAL_HBETA_COVERAGE_INCOMPLETE,False
J000253.52+210109.9,faint,LAMOST_DR11,True,True,False,True,0.0,True,True,16.39370916795002,2996.9322492423084,848.351204359625,19.9205410943788,True,True,,False
J083826.50+371906.7,faint,SDSS_LEGACY,True,True,True,True,0.0,True,True,2.7743074504371634,9827.329082778328,595.1550263879524,1.3977179625029548,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J083826.50+371906.7,bright,LAMOST_DR11,False,False,False,False,0.05596107055961075,False,False,,,,,False,False,LOCAL_HBETA_COVERAGE_INCOMPLETE,False
J084016.42+220624.6,bright,SDSS_LEGACY,False,False,False,False,0.014598540145985384,False,False,,,,,False,False,LOCAL_HBETA_COVERAGE_INCOMPLETE,False
J084016.42+220624.6,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,2.6172369826937825,11380.860819556146,512.9314880750003,2.792608244514468,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J095536.70+103752.4,faint,SDSS_LEGACY,True,True,False,True,0.0,True,True,5.725663276834325,7712.762495058671,760.4341360786768,1.5989099128414679,True,True,,False
J095536.70+103752.4,bright,LAMOST_DR11,True,True,False,True,0.0,True,True,39.3208560156566,3374.4144186830727,2284.239356001197,3.4039995681624893,True,True,,False
J101403.44+193609.1,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,7.20947468391131,3384.6208244192026,425.69376276049434,1.1047694502987249,True,True,,False
J101403.44+193609.1,faint,LAMOST_DR11,True,True,False,True,0.0,True,True,5.985636430949626,3795.3386504784908,391.17885237311503,3.583476936926335,True,True,,False
J101417.87+351106.8,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,5.662736946021596,5586.523050554013,790.0202286883032,1.0524408960885008,True,True,,False
J101417.87+351106.8,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,1.0838518971212352,15279.42444755641,308.9541623669918,0.9766536443532474,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J102822.85+235125.8,bright,SDSS_LEGACY,True,True,True,True,0.0,True,True,7.324766349015022,6140.427152679977,1174.8391917372915,1.2274449745073948,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J102822.85+235125.8,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,2.4612856197592237,2822.7530502381564,120.1449370967633,4.016371713373612,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J103844.05+390804.0,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,8.056190159422272,20089.59510420415,2787.4321345221233,2.2694165905413737,True,False,BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE,False
J103844.05+390804.0,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,1.840668728547712,2919.371623936299,737.3182179711278,7.070256066144063,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J104043.38+273518.9,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,4.668907482852092,9947.574209297012,799.7742641806756,1.6498646067075446,True,True,,False
J104043.38+273518.9,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,3.4729980002978778,3256.3676349835364,246.56197056961088,4.206554387493525,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J104111.56+555142.4,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,4.649945428703006,4715.692283374913,377.583245717762,1.0975926490766776,True,True,,False
J104111.56+555142.4,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,0.1795752435640452,13602.252474164725,42.06400988334464,3.4094775947463973,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J104427.75+271806.3,bright,SDSS_LEGACY,True,True,True,True,0.0,True,True,37.65044997994238,4179.58980102956,3847.745381496969,2.091543504032948,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J104427.75+271806.3,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,7.771575605275416,12622.693990199503,1833.4017019130779,3.8320537434535056,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J105233.83+454949.3,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,3.686736471664176,7968.86870896075,505.88203076797583,1.6554582997616827,True,True,,False
J105233.83+454949.3,faint,LAMOST_DR11,True,True,False,True,0.0,True,True,22.556542189633433,35043.83497606614,13619.860043288572,4.941949567376094,True,False,BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE,False
J110413.32+281530.3,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,15.899793703866294,3929.14322269866,1075.7323657805955,1.9669850953511157,True,True,,False
J110413.32+281530.3,faint,LAMOST_DR11,False,False,False,False,0.014634146341463428,False,False,,,,,False,False,LOCAL_HBETA_COVERAGE_INCOMPLETE,False
J112229.65+214815.6,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,19.945675111543437,3519.957508107631,1992.8588193454711,2.1264677048671947,True,True,,False
J112229.65+214815.6,faint,LAMOST_DR11,True,True,False,True,0.0,True,True,6.020950404916903,10473.164725036422,1085.853408989649,2.378243111757881,True,True,,False
J113402.78+290403.9,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,7.324148509901818,10089.911337137868,1150.1148747299235,0.8020666601539915,True,True,,False
J113402.78+290403.9,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,1.5073431391954273,14128.894149116542,366.752570084393,1.0224464412044707,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J114154.47+063509.6,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,13.850393054681831,3848.9464019259744,1391.7292963953014,2.7614731744562153,True,True,,False
J114154.47+063509.6,faint,LAMOST_DR11,False,False,False,False,0.012195121951219523,False,False,,,,,False,False,LOCAL_HBETA_COVERAGE_INCOMPLETE,False
J114634.92+282642.0,bright,SDSS_LEGACY,True,True,True,True,0.0,True,True,10.768289038232126,3714.102237461933,959.6159299140281,1.2789622368488682,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J114634.92+282642.0,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,2.5264468295205234,16334.322766874042,710.691492245062,3.5677559708240016,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J120635.22+175312.3,bright,SDSS_LEGACY,True,True,True,True,0.0,True,True,14.421528971020336,5761.435906876165,2051.718538006805,1.5723073191499901,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J120635.22+175312.3,faint,LAMOST_DR11,True,True,False,True,0.0,True,True,5.605247377360456,2825.48075131594,272.62514152464274,6.331648211332626,True,True,,False
J122355.23+343856.6,bright,SDSS_LEGACY,True,True,True,True,0.0,True,True,6.908514316172898,5582.698208800955,794.1677984077471,1.3410717814391322,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J122355.23+343856.6,faint,LAMOST_DR11,True,True,False,True,0.0,True,True,3.162750061846964,5601.835180228514,305.05749064602765,3.8204332051883707,True,True,,False
J122623.69+261050.0,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,8.212384106087711,6947.250799705614,1235.7993802970782,1.2510532932920553,True,True,,False
J122623.69+261050.0,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,0.3041927820746082,5380.788781580282,28.182578554556862,2.7388068675168045,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J122945.61+440934.5,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,4.5237674717313325,4172.307807010638,555.6416028159043,2.020758418623725,True,True,,False
J122945.61+440934.5,faint,LAMOST_DR11,False,False,False,False,0.014634146341463428,False,False,,,,,False,False,LOCAL_HBETA_COVERAGE_INCOMPLETE,False
J124554.71+460418.7,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,28.551910835616923,2896.7048274455183,1423.7172333145922,3.2542174484218265,True,True,,False
J124554.71+460418.7,faint,LAMOST_DR11,True,False,False,True,0.0,True,True,0.3682765203905092,2828.456505141091,17.9309347733637,2.362894893786583,True,False,HBETA_OPTIMIZER_FAILED,False
J130501.21+010323.8,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,7.811835622817398,2861.4147024743556,384.89795818539704,2.0948888239012597,True,True,,False
J130501.21+010323.8,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,0.6731265544956955,34964.83396983333,405.52533452709775,3.285489142466649,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE,False
J131001.32+143705.2,bright,SDSS_LEGACY,True,True,True,True,0.0,True,True,6.19449158634211,3274.8929684288796,658.2084801220171,1.141776432889984,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J131001.32+143705.2,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,0.058221205634367834,5327.33462927481,17.28881321479629,2.3758063131481832,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J131432.70+122718.5,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,12.052669418061157,11427.749573318559,2371.800322336475,3.357732094167019,True,True,,False
J131432.70+122718.5,faint,LAMOST_DR11,True,True,True,True,0.0,True,True,10.353214396907617,5928.861021254157,1054.5244136401816,6.3927807800247285,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J132421.98+280238.3,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,10.546501449937296,7101.914330782544,1504.8968288785209,3.544306393880018,True,True,,False
J132421.98+280238.3,faint,LAMOST_DR11,True,True,False,True,0.0,True,True,12.273341787327752,6363.0276245496225,600.7291799495886,6.2007390791394545,True,True,,False
J133551.98+544450.1,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,19.982940857588005,6490.070326964807,2813.382238532035,2.1576781539455343,True,True,,False
J133551.98+544450.1,faint,LAMOST_DR11,True,True,False,True,0.0,True,True,9.743425510855275,11497.853350638308,1929.7943835013311,5.530071247341195,True,True,,False
J134133.73+090356.7,bright,SDSS_LEGACY,True,True,True,True,0.0,True,True,40.497804554284755,4249.216752475974,4199.991601039869,2.3608131232712437,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
J134133.73+090356.7,faint,LAMOST_DR11,False,False,False,False,0.07055961070559613,False,False,,,,,False,False,LOCAL_HBETA_COVERAGE_INCOMPLETE,False
J134739.65+362240.0,bright,SDSS_LEGACY,True,True,False,True,0.0,True,True,3.7082115156295004,5127.553645832843,317.4306488017934,1.4596228129194355,True,True,,False
